record_id,record_type,call_state,date,start_time,end_time,call_id,caller_uri,caller_number,caller_ip,caller_port,callee_uri,callee_number,callee_ip,callee_port,duration,setup_time,status_code,status_text,termination_reason,invite_time,ringing_time,answer_time,bye_time,user_agent,contact,expires,message_body,server_ip,server_port,cseq,extra_info
20251027205304000001,REGISTER,SUCCESS,2025-10-27,20:53:04,20:53:04,glvKSTqArYAap4ZcoHyivg..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=fc80788a34b76dde;transport=UDP,60,,192.168.8.126,5060,16 REGISTER,
20251027205304000002,REGISTER,SUCCESS,2025-10-27,20:53:04,20:53:04,RrNxIqWEQwPDnP35dLyb3A..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=0db27be251187c82;transport=UDP,60,,192.168.8.126,5060,16 REGISTER,
20251027205322000003,REGISTER,SUCCESS,2025-10-27,20:53:22,20:53:22,F-rcJKiSqp_C2unylUXTgw..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=54620c07ad69b547;transport=UDP,60,,192.168.8.126,5060,15 REGISTER,
20251027205828000001,REGISTER,SUCCESS,2025-10-27,20:58:28,20:58:28,RrNxIqWEQwPDnP35dLyb3A..,sip:1001@192.168.8.126,1001,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1001@192.168.8.129:57446;rinstance=0db27be251187c82;transport=UDP,60,,192.168.8.126,5060,19 REGISTER,
20251027205828000002,REGISTER,SUCCESS,2025-10-27,20:58:28,20:58:28,glvKSTqArYAap4ZcoHyivg..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=fc80788a34b76dde;transport=UDP,60,,192.168.8.126,5060,19 REGISTER,
20251027205839000003,REGISTER,SUCCESS,2025-10-27,20:58:39,20:58:39,uMhGqfGpl55L93FOPhioVA..,sip:1002@192.168.8.126,1002,192.168.8.120,41303,,,,,,,200,OK,,,,,,Zoiper v2.10.20.11,sip:1002@192.168.8.120:41303;rinstance=dd173711940cdcec;transport=UDP,60,,192.168.8.126,5060,2 REGISTER,
20251027205928000006,CALL,ENDED,2025-10-27,20:59:28,20:59:36,ukAAGDkQj0s-xhGGX7Y8Xg..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=f512ce45",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,8.19,,,,Normal,20:59:28.465,,,20:59:36.652,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027205940000008,CALL,ENDED,2025-10-27,20:59:40,20:59:48,lUfdiXCnvsfaKWClfcL-kQ..,<sip:1002@192.168.8.126;transport=UDP>;tag=ba47f84d,1002,192.168.8.120,41303,<sip:1003@192.168.8.126>,1003,192.168.8.129,57446,7.87,,,,Normal,20:59:40.637,,,20:59:48.509,Zoiper v2.10.20.11,,,,192.168.8.126,5060,2 BYE,
20251027205950000009,CALL,FAILED,2025-10-27,20:59:50,20:59:52,qlp6IQuXMbXDF85ESkd55w..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=eef33f51",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,486,Busy Here,486 Busy Here,20:59:50.582,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 INVITE,
20251027210000000010,CALL,ENDED,2025-10-27,21:00:00,21:00:06,gE8ds2FRwUIRszflubcZgQ..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=563d9468",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,6.84,,,,Normal,21:00:00.114,,,21:00:06.957,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027210009000011,CALL,CANCELLED,2025-10-27,21:00:09,21:00:13,tnmWrUcTeDoVcdXpBgmuRA..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=a702d54f",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,,,User Cancelled,21:00:09.822,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 CANCEL,
20251027210018000015,CALL,FAILED,2025-10-27,21:00:18,21:00:21,FryvphfFlLrlGJ6cmGh36Q..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=2d7a0466",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,,,486,Busy Here,486 Busy Here,21:00:18.728,,,,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,1 INVITE,
20251027210026000016,CALL,ENDED,2025-10-27,21:00:26,21:00:31,0qH_CVXeIqhYM8qIEdKB1w..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=c6f73a4b",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,5.32,,,,Normal,21:00:26.113,,,21:00:31.429,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027210215000023,CALL,ENDED,2025-10-27,21:02:15,21:02:32,zNQVOi918PGHhlAt6aHyoA..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=33b21872",1001,192.168.8.129,57446,<sip:1002@192.168.8.126>,1002,192.168.8.120,41303,16.27,,,,Normal,21:02:15.880,,,21:02:32.154,Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251027210521000001,REGISTER,SUCCESS,2025-10-27,21:05:21,21:05:21,glvKSTqArYAap4ZcoHyivg..,sip:1003@192.168.8.126,1003,192.168.8.129,57446,,,,,,,200,OK,,,,,,Zoiper v2.10.20.4_1,sip:1003@192.168.8.129:57446;rinstance=fc80788a34b76dde;transport=UDP,60,,192.168.8.126,5060,28 REGISTER,
