record_id,record_type,call_state,date,start_time,end_time,call_id,caller_uri,caller_number,caller_ip,caller_port,callee_uri,callee_number,callee_ip,callee_port,duration,setup_time,status_code,status_text,termination_reason,invite_time,ringing_time,answer_time,bye_time,call_type,codec,user_agent,contact,expires,message_body,server_ip,server_port,cseq,extra_info
20260216003956000002,REGISTER,SUCCESS,2026-02-16,00:39:56,00:39:56,evoaignjL-,sip:1001@113.44.149.111,1001,196.137.70.206,10975,,,,,,,200,OK,,,,,,,,LinphoneiOS/6.0.3 (iPhone) LinphoneSDK/5.4.82-2-gf19e535ee,sip:1001@196.137.70.206:10975;transport=udp,3600,,172.31.10.126,5060,21 REGISTER,
20260216005004000005,REGISTER,SUCCESS,2026-02-16,00:50:04,00:50:04,48311597-b508bb3cbae7f7b-64133e60@113.44.149.111:5060,sip:0000@[113.44.149.111:5060],0000,185.243.5.50,5064,,,,,,,200,OK,,,,,,,,Friendly Scanner,sip:0000@185.243.5.50:5064,1800,,172.31.10.126,5060,42 REGISTER,
20260216014339000007,OPTIONS,COMPLETED,2026-02-16,01:43:39,01:43:39,248650327221523227666985,"""sipvicious""<sip:100@1.1.1.1>;tag=3731326339353666313363340131373738383130373132",100,15.204.54.13,23758,"""sipvicious""<sip:100@1.1.1.1>",100,,,,,200,OK,,,,,,,,friendly-scanner,,,,,,1 OPTIONS,
20260216014437000008,REGISTER,SUCCESS,2026-02-16,01:44:37,01:44:37,48630dc4-2ff838e0214f5880-5dc77adc@113.44.149.111:5060,sip:0000@[113.44.149.111:5060],0000,185.243.5.50,5068,,,,,,,200,OK,,,,,,,,Friendly Scanner,sip:0000@185.243.5.50:5068,1800,,172.31.10.126,5060,42 REGISTER,
20260216020242000010,REGISTER,SUCCESS,2026-02-16,02:02:42,02:02:42,Wtt7KXCYJ6,sip:1001@113.44.149.111,1001,156.216.241.82,53408,,,,,,,200,OK,,,,,,,,LinphoneiOS/6.0.3 (iPhone) LinphoneSDK/5.4.82-2-gf19e535ee,sip:1001@156.216.241.82:53408;transport=udp,3600,,172.31.10.126,5060,21 REGISTER,
20260216020339000014,REGISTER,SUCCESS,2026-02-16,02:03:39,02:03:39,3YBFBMYUw~,sip:1002@113.44.149.111,1002,156.216.241.82,62124,,,,,,,200,OK,,,,,,,,LinphoneiOS/6.0.3 (iPhone) LinphoneSDK/5.4.82-2-gf19e535ee,sip:1002@156.216.241.82:62124;transport=udp,3600,,172.31.10.126,5060,21 REGISTER,
20260216020355000016,REGISTER,SUCCESS,2026-02-16,02:03:55,02:03:55,fBr5kDSdgu,sip:1001@113.44.149.111,1001,156.216.241.82,50089,,,,,,,200,OK,,,,,,,,LinphoneiOS/6.0.3 (iPhone) LinphoneSDK/5.4.82-2-gf19e535ee,sip:1001@156.216.241.82:50089;transport=udp,3600,,172.31.10.126,5060,21 REGISTER,
20260216020401000017,CALL,CANCELLED,2026-02-16,02:04:01,02:04:40,TalT4l4osN,"""1002"" <sip:1002@113.44.149.111>;tag=q7kwwEXE4",1002,156.216.241.82,62124,"""1001"" <sip:1001@113.44.149.111>",1001,156.216.241.82,50089,,5.91s,200,OK,User Cancelled,02:04:01.698,,02:04:07.611,,AUDIO,"opus, speex, telephone-event",LinphoneiOS/6.0.3 (iPhone) LinphoneSDK/5.4.82-2-gf19e535ee,,,,172.31.10.126,5060,20 CANCEL,
20260216020443000020,CALL,CANCELLED,2026-02-16,02:04:43,02:04:56,kvLEjZPfsM,"""1001"" <sip:1001@113.44.149.111>;tag=F1fjPm-kr",1001,156.216.241.82,50089,"""1002"" <sip:1002@113.44.149.111>",1002,156.216.241.82,62124,,3.58s,200,OK,User Cancelled,02:04:43.747,,02:04:47.325,,AUDIO,"opus, speex, telephone-event",LinphoneiOS/6.0.3 (iPhone) LinphoneSDK/5.4.82-2-gf19e535ee,,,,172.31.10.126,5060,20 CANCEL,
20260216020626000168,REGISTER,SUCCESS,2026-02-16,02:06:26,02:06:26,zxWLIJbQRT,sip:1001@113.44.149.111,1001,156.216.241.82,56439,,,,,,,200,OK,,,,,,,,LinphoneiOS/6.0.3 (iPhone) LinphoneSDK/5.4.82-2-gf19e535ee,sip:1001@156.216.241.82:56439;transport=udp,3600,,172.31.10.126,5060,21 REGISTER,
