record_id,record_type,call_state,date,start_time,end_time,call_id,caller_uri,caller_number,caller_ip,caller_port,callee_uri,callee_number,callee_ip,callee_port,duration,setup_time,status_code,status_text,termination_reason,invite_time,ringing_time,answer_time,bye_time,call_type,codec,user_agent,contact,expires,message_body,server_ip,server_port,cseq,extra_info
20251029132629000005,CALL,ENDED,2025-10-29,13:26:29,13:26:40,0QhM81F6pBbeJ-9GL1FuRw..,<sip:1004@192.168.8.126>;tag=f5735576,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,6.08,4.60s,200,OK,Normal,13:26:29.698,,13:26:34.302,13:26:40.382,AUDIO,"opus, G729, PCMA, PCMU, telephone-event",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,2 BYE,
20251029132714000008,CALL,ENDED,2025-10-29,13:27:14,13:27:43,Yd7-20s1dYz6ANs_Milsug..,<sip:1007@192.168.8.126>;tag=edd7c51f,1007,192.168.8.120,8044,<sip:1004@192.168.8.126>,1004,192.168.8.129,5960,24.89,4.19s,200,OK,Normal,13:27:14.857,,13:27:19.046,13:27:43.935,AUDIO+VIDEO,"G729, PCMA, PCMU, opus, telephone-event, H264, VP8, VP9",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,2 BYE,
20251029133143000018,CALL,ENDED,2025-10-29,13:31:43,13:32:20,WHlnqwftqc1an7uaLvfRBQ..,<sip:1004@192.168.8.126>;tag=52fa1d24,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,35.05,1.85s,200,OK,Normal,13:31:43.698,,13:31:45.551,13:32:20.603,AUDIO,"opus, G729, PCMA, PCMU, telephone-event",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,3 BYE,
20251029133601000028,CALL,ENDED,2025-10-29,13:36:01,13:36:45,KbELhFwqJLbBgz_gJKsRhg..,<sip:1004@192.168.8.126>;tag=2c373a45,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,42.36,1.62s,200,OK,Normal,13:36:01.522,,13:36:03.145,13:36:45.507,AUDIO,"opus, G729, PCMA, PCMU, telephone-event",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,3 BYE,
20251029134915000071,CALL,ENDED,2025-10-29,13:49:15,13:49:41,N7jKHT5Xykix5tYNhOQWqg..,<sip:1007@192.168.8.126>;tag=48a94818,1007,192.168.8.120,8044,<sip:1006@192.168.8.126>,1006,192.168.8.129,52603,23.82,2.37s,200,OK,Normal,13:49:15.046,,13:49:17.415,13:49:41.238,AUDIO,"opus, telephone-event",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,111 BYE,
20251029135322000017,CALL,ENDED,2025-10-29,13:53:22,13:54:58,OD1-voakNZ5b1SccCFFAbA..,<sip:1007@192.168.8.126>;tag=3d09663a,1007,192.168.8.120,8044,<sip:1006@192.168.8.126>,1006,192.168.8.129,50975,91.7,4.06s,200,OK,Normal,13:53:22.876,,13:53:26.935,13:54:58.639,AUDIO+VIDEO,"G729, PCMA, PCMU, opus, telephone-event, H264, VP8",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,3 BYE,
20251029135537000023,CALL,FAILED,2025-10-29,13:55:37,13:55:48,PvEFI-lQhuBk8Rd84hvKWQ..,<sip:1004@192.168.8.126>;tag=29b2be13,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,,1.89s,491,Request Pending,491 Request Pending,13:55:37.960,,13:55:39.846,,AUDIO+VIDEO,"opus, G729, PCMA, PCMU, GSM, AMR, AMR-WB, ILBC, SPEEX, G722, telephone-event, H264, VP8, VP9",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,1 INVITE,
20251029140452000044,CALL,FAILED,2025-10-29,14:04:52,14:05:12,tq4UWVp0b6uOguEhWbRlig..,<sip:1004@192.168.8.126>;tag=029c9f58,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,,5.29s,491,Request Pending,491 Request Pending,14:04:52.193,,14:04:57.483,,AUDIO+VIDEO,"opus, G729, PCMA, PCMU, GSM, AMR, AMR-WB, ILBC, SPEEX, G722, telephone-event, H264, rtx, VP8, VP9, red, ulpfec",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,1 INVITE,
20251029142543000004,CALL,ENDED,2025-10-29,14:25:43,14:26:49,UnzQRoHsyv3L2r5FTiqbYw..,<sip:1007@192.168.8.126>;tag=8bd02b68,1007,192.168.8.120,8044,<sip:1004@192.168.8.126>,1004,192.168.8.129,5960,61.26,4.09s,200,OK,Normal,14:25:43.799,,14:25:47.890,14:26:49.148,AUDIO+VIDEO,"G729, PCMA, PCMU, opus, telephone-event, H264, VP8, VP9",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,11 BYE,
20251029143002000014,CALL,ENDED,2025-10-29,14:30:02,14:30:36,SJTJAlxp00aP3BLO-ZewYA..,<sip:1007@192.168.8.126>;tag=2861684d,1007,192.168.8.120,8044,<sip:1004@192.168.8.126>,1004,192.168.8.129,5960,29.99,3.54s,200,OK,Normal,14:30:02.537,,14:30:06.075,14:30:36.069,AUDIO+VIDEO,"G729, PCMA, PCMU, opus, telephone-event, H264, rtx, VP8, VP9, red, ulpfec",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,3 BYE,
20251029143357000030,CALL,ENDED,2025-10-29,14:33:57,14:34:29,EJVgtKkY_s8jeaCZrJI3Dw..,<sip:1004@192.168.8.126>;tag=7cfca929,1004,192.168.8.129,5960,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,27.88,4.07s,200,OK,Normal,14:33:57.707,,14:34:01.776,14:34:29.658,AUDIO+VIDEO,"opus, G729, PCMA, PCMU, telephone-event, H264, VP8, VP9",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,9 BYE,
20251029143607000038,CALL,ENDED,2025-10-29,14:36:07,14:36:41,gE6QCP1hA61oD5UYAYBgNw..,<sip:1007@192.168.8.126>;tag=c6cb0a58,1007,192.168.8.120,8044,<sip:1006@192.168.8.126>,1006,192.168.8.129,57096,31.97,2.01s,200,OK,Normal,14:36:07.373,,14:36:09.388,14:36:41.353,AUDIO+VIDEO,"G729, PCMA, PCMU, opus, telephone-event, H264, VP8",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,6 BYE,
20251029143652000046,CALL,ENDED,2025-10-29,14:36:52,14:36:54,UXOAj-ro6F4bAwz1-nMToQ..,<sip:1007@192.168.8.126>;tag=4357ed6e,1007,192.168.8.120,8044,<sip:1001@192.168.8.126>,1001,192.168.8.129,54359,0.49,2.30s,200,OK,Normal,14:36:52.190,,14:36:54.486,14:36:54.979,AUDIO,"speex, iLBC, telephone-event",PortSIP UC Client  Android - v13.0.1,,,,192.168.8.126,5060,2 BYE,
20251029143702000047,CALL,ENDED,2025-10-29,14:37:02,14:37:08,diCuhPh12lyWBQH1OfzDKw..,"""Dragon1001""<sip:1001@192.168.8.126;transport=UDP>;tag=7d6a8961",1001,192.168.8.129,54359,<sip:1007@192.168.8.126>,1007,192.168.8.120,8044,3.78,1.48s,200,OK,Normal,14:37:02.770,,14:37:04.254,14:37:08.036,AUDIO,"PCMA, telephone-event, PCMU",Zoiper v2.10.20.4_1,,,,192.168.8.126,5060,2 BYE,
20251029143805000058,CALL,ENDED,2025-10-29,14:38:05,14:38:23,0ZYyJsoivZK8i4sirvry3Q..,<sip:1004@192.168.8.126>;tag=0cf8416b,1004,192.168.8.129,5960,<sip:1005@192.168.8.126>,1005,192.168.8.120,46129,16.49,1.52s,200,OK,Normal,14:38:05.359,,14:38:06.879,14:38:23.374,AUDIO+VIDEO,"opus, G729, PCMA, PCMU, speex, telephone-event, H264, VP8",PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,112 BYE,
20251029143849000061,CALL,ENDED,2025-10-29,14:38:49,14:38:52,15mJ20kH8wG8qZe60PE-Sg..,<sip:1004@192.168.8.126>;tag=275eb304,1004,192.168.8.129,5960,<sip:1002@192.168.8.126>,1002,192.168.8.120,48494,0.04,2.51s,200,OK,Normal,14:38:49.752,,14:38:52.266,14:38:52.302,AUDIO,telephone-event,PortSIP UC Client iOS - v12.4.1,,,,192.168.8.126,5060,2 BYE,
